epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1831.74,1.84284,3.91579,1.18405,0.98903,0.66281,0.41635,0.56699,0.24041,0.206,0.08958,0.12754,0.05135,2.00123,4.40653,1.3104,1.02949,0.000986945,0.000986945,0.000986945
42,1875.09,1.87025,3.92721,1.22485,0.98566,0.62481,0.43146,0.54227,0.228,0.22727,0.10308,0.14007,0.05352,2.0786,4.53698,1.28268,1.05265,0.000964651,0.000964651,0.000964651
43,1918.67,1.86073,3.88053,1.21255,0.9886,0.59104,0.45091,0.51826,0.22171,0.18595,0.11431,0.12313,0.04878,2.06252,4.49101,1.29413,1.04265,0.000942152,0.000942152,0.000942152
44,1962.1,1.81865,3.91493,1.15434,0.97719,0.68013,0.39623,0.55698,0.24821,0.2254,0.10188,0.1398,0.05527,2.09269,4.47821,1.29893,1.06517,0.000919471,0.000919471,0.000919471
45,2005.27,1.81944,3.82671,1.15866,0.97639,0.66972,0.43801,0.56528,0.24267,0.22949,0.12574,0.14582,0.05502,2.13796,4.2906,1.36528,1.07603,0.000896631,0.000896631,0.000896631
46,2048.41,1.81069,3.87129,1.17444,0.9829,0.7034,0.37791,0.53849,0.23052,0.22829,0.08309,0.13389,0.05626,2.06274,4.50008,1.3037,1.053,0.000873653,0.000873653,0.000873653
47,2091.13,1.82938,3.88343,1.17345,0.98247,0.73927,0.38172,0.57141,0.24757,0.19764,0.07788,0.11287,0.03656,2.11369,4.47828,1.27254,1.10814,0.00085056,0.00085056,0.00085056
48,2134.35,1.78738,3.8443,1.13345,0.97344,0.68571,0.4576,0.58897,0.25972,0.12173,0.07013,0.07469,0.02433,2.00967,4.71446,1.30687,1.05183,0.000827375,0.000827375,0.000827375
49,2177.32,1.81303,3.8604,1.13704,0.9759,0.65048,0.37404,0.52231,0.2235,0.20661,0.10028,0.12441,0.04374,2.09992,4.46134,1.45599,1.07158,0.000804122,0.000804122,0.000804122
50,2220.74,1.7493,3.77717,1.10683,0.96223,0.73675,0.46054,0.6193,0.27533,0.22863,0.122,0.13928,0.05027,1.99336,4.42465,1.20463,1.04245,0.000780822,0.000780822,0.000780822
51,2263.71,1.76052,3.82308,1.10919,0.97716,0.8078,0.36013,0.5915,0.25307,0.23779,0.0857,0.13437,0.0545,2.01998,4.59371,1.43608,1.02002,0.0007575,0.0007575,0.0007575
52,2306.52,1.75833,3.8314,1.12203,0.97752,0.71889,0.4592,0.61022,0.26327,0.20544,0.11097,0.12786,0.05186,1.97963,4.50766,1.22636,1.03551,0.000734178,0.000734178,0.000734178
53,2349.58,1.74146,3.80881,1.06531,0.96655,0.71993,0.29803,0.5181,0.22922,0.17484,0.03276,0.09636,0.04206,2.11494,4.56284,1.48103,1.04987,0.000710878,0.000710878,0.000710878
