epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
67,37900.7,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000577782,0.000577782,0.000577782
68,38449.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000561279,0.000561279,0.000561279
69,38998.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000544776,0.000544776,0.000544776
70,39548,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000528272,0.000528272,0.000528272
71,40097,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000511769,0.000511769,0.000511769
72,40645.5,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000495266,0.000495266,0.000495266
73,41194.7,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000478762,0.000478762,0.000478762
74,41743.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000462259,0.000462259,0.000462259
75,42292.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000445756,0.000445756,0.000445756
76,42841.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000429253,0.000429253,0.000429253
77,43390.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000412749,0.000412749,0.000412749
78,43939.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000396246,0.000396246,0.000396246
79,44488.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000379743,0.000379743,0.000379743
80,45037.1,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000363239,0.000363239,0.000363239
81,45586.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000346736,0.000346736,0.000346736
82,46135.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000330233,0.000330233,0.000330233
83,46684.7,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000313729,0.000313729,0.000313729
84,47232.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000297226,0.000297226,0.000297226
85,47781.5,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000280723,0.000280723,0.000280723
86,48330.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00026422,0.00026422,0.00026422
87,48879.5,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000247716,0.000247716,0.000247716
