epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1877.6,1.91215,3.95736,1.26784,0.99206,0.74222,0.37163,0.56303,0.23632,0.1468,0.06886,0.08456,0.02366,2.00573,4.69102,1.33045,1.03022,0.000964651,0.000964651,0.000964651
43,1914.75,1.88115,3.89845,1.24244,0.99324,0.60258,0.338,0.48061,0.21511,0.22058,0.10736,0.14311,0.05515,2.18098,4.49622,1.47583,1.08495,0.000942152,0.000942152,0.000942152
44,1968.88,1.8587,3.94266,1.19857,0.98358,0.74932,0.41549,0.60054,0.25066,0.2289,0.09266,0.13274,0.05763,2.11428,4.51592,1.30514,1.04882,0.000919471,0.000919471,0.000919471
45,2008.95,1.83252,3.83398,1.1744,0.97801,0.64942,0.41769,0.54072,0.23321,0.20551,0.11913,0.12926,0.04365,2.09176,4.33536,1.29377,1.0419,0.000896631,0.000896631,0.000896631
46,2061.02,1.849,3.86772,1.21809,0.98849,0.74316,0.28466,0.51998,0.23854,0.25499,0.06551,0.14174,0.04151,2.04766,4.51989,1.81702,1.03013,0.000873653,0.000873653,0.000873653
47,2096.49,1.85428,3.89307,1.21172,0.98705,0.66238,0.42859,0.56468,0.2463,0.20366,0.10596,0.12279,0.03794,2.06497,4.4998,1.33282,1.04705,0.00085056,0.00085056,0.00085056
48,2135.11,1.80856,3.84828,1.16783,0.9742,0.62775,0.46107,0.56002,0.25033,0.20437,0.12227,0.13327,0.0496,1.93338,4.47792,1.20721,1.02579,0.000827375,0.000827375,0.000827375
49,2191.56,1.83657,3.87722,1.169,0.97779,0.59201,0.43013,0.51545,0.21922,0.21643,0.1091,0.13199,0.05239,2.06379,4.45992,1.29017,1.06108,0.000804122,0.000804122,0.000804122
50,2230.52,1.79558,3.80132,1.13893,0.96608,0.6941,0.4348,0.57798,0.25123,0.17556,0.09653,0.11109,0.03779,1.97281,4.37077,1.31775,1.02463,0.000780822,0.000780822,0.000780822
51,2268.35,1.80826,3.87247,1.16296,0.97741,0.78537,0.40719,0.60538,0.28447,0.17119,0.07989,0.10333,0.02979,1.91649,4.45864,1.23311,1.00595,0.0007575,0.0007575,0.0007575
52,2322.81,1.79865,3.87859,1.14619,0.98141,0.68878,0.44282,0.58376,0.26474,0.20379,0.10094,0.11961,0.03901,1.96528,4.40626,1.2226,1.01618,0.000734178,0.000734178,0.000734178
53,2362.73,1.77775,3.8384,1.11052,0.96776,0.5528,0.34556,0.44968,0.1914,0.15285,0.0623,0.09239,0.03521,2.23329,4.71844,1.3167,1.07838,0.000710878,0.000710878,0.000710878
54,2400.09,1.82342,3.90649,1.12442,0.97272,0.76338,0.27195,0.52476,0.2255,0.23065,0.06645,0.13736,0.04832,2.23204,4.54071,1.92332,1.04627,0.000687625,0.000687625,0.000687625
55,2450.58,1.81249,3.84928,1.1416,0.97688,0.60796,0.42264,0.51844,0.21882,0.21727,0.14727,0.13207,0.03951,2.12772,4.43628,1.394,1.05141,0.00066444,0.00066444,0.00066444
56,2492.82,1.83278,3.88453,1.17292,0.97891,0.69549,0.4594,0.59772,0.25273,0.26926,0.13798,0.16301,0.052,2.02033,4.53259,1.1934,1.04374,0.000641347,0.000641347,0.000641347
57,2529.98,1.81131,3.88161,1.12348,0.97141,0.72275,0.4685,0.61511,0.26071,0.24892,0.12381,0.15571,0.05407,1.9765,4.549,1.2022,1.03809,0.000618369,0.000618369,0.000618369
58,2584.41,1.77312,3.8681,1.10154,0.96202,0.7235,0.43594,0.59811,0.2599,0.24112,0.11552,0.14701,0.04728,1.96094,4.39955,1.18393,1.02567,0.000595529,0.000595529,0.000595529
59,2625.77,1.72944,3.84958,1.09981,0.95676,0.71246,0.47458,0.60831,0.27199,0.22222,0.1327,0.13763,0.03989,1.91395,4.2972,1.17403,1.01596,0.000572848,0.000572848,0.000572848
60,2681.59,1.75444,3.84771,1.10628,0.95365,0.61274,0.44048,0.54392,0.24423,0.19779,0.11097,0.12189,0.03814,1.97228,4.4189,1.30171,1.01493,0.000550349,0.000550349,0.000550349
